title,img
"cupola","bc/cupola.jpg"
"door NE style","bc/door NE style.jpg"
"door, solid 6 panel","bc/door, solid 6 panel.jpg"
"door-11 lite","bc/door-11 lite.jpg"
"door-9 lite","bc/door-9 lite.jpg"
"fasten wall to concrete","bc/fasten wall to concrete.jpg"
"gable vent","bc/gable vent.jpg"
"garage door 4 lite window","bc/garage door 4 lite window.jpg"
"garage door basic window","bc/garage door basic window.jpg"
"garage door standard","bc/garage door standard.jpg"
"garage door-carriage house with window","bc/garage door-carriage house with window.jpg"
"modular 1","bc/modular 1.jpg"
"modular 2","bc/modular 2.jpg"
"modular 3","bc/modular 3.jpg"
"paint-black","bc/paint-black.jpg"
"paint-blue","bc/paint-blue.jpg"
"paint-brown","bc/paint-brown.jpg"
"paint-buckskin","bc/paint-buckskin.jpg"
"paint-cedartone sealer","bc/paint-cedartone sealer.jpg"
"paint-chestnut","bc/paint-chestnut.jpg"
"paint-clay","bc/paint-clay.jpg"
"paint-cream","bc/paint-cream.jpg"
"paint-dark gray","bc/paint-dark gray.jpg"
"paint-gray","bc/paint-gray.jpg"
"paint-green","bc/paint-green.jpg"
"paint-navajo white","bc/paint-navajo white.jpg"
"paint-pink","bc/paint-pink.jpg"
"paint-red","bc/paint-red.jpg"
"paint-tan","bc/paint-tan.jpg"
"potting table","bc/potting table.jpg"
"ramp","bc/ramp.jpg"
"real stone front","bc/real stone front.jpg"
"ridge vent","bc/ridge vent.jpg"
"shed built on site","bc/shed built on site.jpg"
"shed kit","bc/shed kit.jpg"
"shed site prep on hill","bc/shed site prep on hill.jpg"
"shed site prep on level","bc/shed site prep on level.jpg"
"shed Skid Layout","bc/shed Skid Layout.jpg"
"shed with potting option","bc/shed with potting option.jpg"
"shed work bench and loft","bc/shed work bench and loft.jpg"
"shed work bench","bc/shed work bench.jpg"
"shingle-black","bc/shingle-black.jpg"
"shingle-fox hollow gray","bc/shingle-fox hollow gray.jpg"
"shingle-hickory brown","bc/shingle-hickory brown.jpg"
"shingle-hunter green","bc/shingle-hunter green.jpg"
"shingle-shakewood tan","bc/shingle-shakewood tan.jpg"
"shingle-slate","bc/shingle-slate.jpg"
"shingle-weathered wood","bc/shingle-weathered wood.jpg"
"vinyl gable vent","bc/vinyl gable vent.jpg"
"vinyl siding almond","bc/vinyl siding almond.jpg"
"vinyl siding cream","bc/vinyl siding cream.jpg"
"Vinyl Siding-blue","bc/Vinyl Siding-blue.jpg"
"vinyl siding-clay","bc/vinyl siding-clay.jpg"
"vinyl siding-gray","bc/vinyl siding-gray.jpg"
"Vinyl Siding-olive","bc/Vinyl Siding-olive.jpg"
"vinyl siding-tan","bc/vinyl siding-tan.jpg"
"window box","bc/window box.jpg"
"window NE style","bc/window NE style.jpg"
"window, lg 18x27","bc/window, lg 18x27.jpg"
"window, sm 14x21","bc/window, sm 14x21.jpg"
"window- 14in octagon","bc/window- 14in octagon.jpg"
"z delivery truck","bc/z delivery truck.jpg"
