title,img
"10x12 A frame clay tan","bc/10x12 A frame clay tan.jpg"
"10x12 vinyl A Frame cream white","bc/10x12 vinyl A Frame cream white.jpg"
"10x14 NE A frame gray,white","bc/10x14 NE A frame gray,white.jpg"
"10x14 NE colonial clay vinyl","bc/10x14 NE colonial clay vinyl.jpg"
"10x14 NE colonial gray, white, blue doors","bc/10x14 NE colonial gray, white, blue doors.jpg"
"10x14 NE dormer shed clay vinyl, tan trim","bc/10x14 NE dormer shed clay vinyl, tan trim.jpg"
"10x14 Quaker almond vinyl","bc/10x14 Quaker almond vinyl.jpg"
"10x16 dutch barn tan,white,tan","bc/10x16 dutch barn tan,white,tan.jpg"
"10x16 NE Quaker buckskin,tan,tan","bc/10x16 NE Quaker buckskin,tan,tan.jpg"
"10x20 1 car garage gray vinyl","bc/10x20 1 car garage gray vinyl.jpg"
"10x20 colonial w porch cream vinyl","bc/10x20 colonial w porch cream vinyl.jpg"
"12x16 1 car garage clay, white,slate","bc/12x16 1 car garage clay, white,slate.jpg"
"12x16 colonial gray vinyl","bc/12x16 colonial gray vinyl.jpg"
"12x20 1car Dutch garage,almond vinyl","bc/12x20 1car Dutch garage,almond vinyl.jpg"
"12x20 A frame gray white","bc/12x20 A frame gray white.jpg"
"12x24 1car NE colonial garage, white","bc/12x24 1car NE colonial garage, white.jpg"
"12x24 Dutch 1car garage tan white","bc/12x24 Dutch 1car garage tan white.jpg"
"12x26 NE colonial garage clay,green","bc/12x26 NE colonial garage clay,green.jpg"
"14x24 2 story garage 1st floor","bc/14x24 2 story garage 1st floor.jpg"
"14x24 2 story garage 2nd floor","bc/14x24 2 story garage 2nd floor.jpg"
"14x24 2 story with shed dormer","bc/14x24 2 story with shed dormer.jpg"
"14X24 2 story with transom","bc/14X24 2 story with transom.jpg"
"24x24 2 car garage in progress","bc/24x24 2 car garage in progress.jpg"
"24x24 2 car garage,concrete floor","bc/24x24 2 car garage,concrete floor.jpg"
"24x26 2 car cedar garage beside house","bc/24x26 2 car cedar garage beside house.jpg"
"24x26 cedar 2 car modular garage","bc/24x26 cedar 2 car modular garage.jpg"
"24x26 vinyl  2 car modular garage","bc/24x26 vinyl  2 car modular garage.jpg"
"4x8 lean to        gray white","bc/4x8 lean to        gray white.jpg"
"4x8 town house","bc/4x8 town house.jpg"
"4x8 vinyl lean to","bc/4x8 vinyl lean to.jpg"
"6X10 NE Lean-to buckskin","bc/6X10 NE Lean-to buckskin.jpg"
"6x10 Quaker  tan","bc/6x10 Quaker  tan.jpg"
"6x8 cedar tone chicken coop","bc/6x8 cedar tone chicken coop.jpg"
"6x8 cedartone chicken coop","bc/6x8 cedartone chicken coop.jpg"
"6x8 quaker","bc/6x8 quaker.jpg"
"6x8 wood shed   buckskin","bc/6x8 wood shed   buckskin.jpg"
"8x10 clay cabin","bc/8x10 clay cabin.jpg"
"8x10 k9 castle  clay","bc/8x10 k9 castle  clay.jpg"
"8x10 K9 castle, tan","bc/8x10 K9 castle, tan.jpg"
"8x10 Quaker blue,white","bc/8x10 Quaker blue,white.jpg"
"8x10 Quaker gray white","bc/8x10 Quaker gray white.jpg"
"8x12 cape cod white black,slide","bc/8x12 cape cod white black,slide.jpg"
"8x12 cape cod white, black, covered porch","bc/8x12 cape cod white, black, covered porch.jpg"
"8x12 econo barn-tan,green","bc/8x12 econo barn-tan,green.jpg"
"8x12 Mini barn- red,white","bc/8x12 Mini barn- red,white.jpg"
"8x12 storage unit","bc/8x12 storage unit.jpg"
"8x8 pink victorian, new arch window","bc/8x8 pink victorian, new arch window.jpg"
"A-Frame Detail Clay","bc/A-Frame Detail Clay.jpg"
"chicken coop 1","bc/chicken coop 1.jpg"
"chicken coop 2","bc/chicken coop 2.jpg"
"chicken coop nesting boxes","bc/chicken coop nesting boxes.jpg"
"dog houses","bc/dog houses.jpg"
